   ----> Oscillator parameters, Model space and single-particle data
Mass number A of chosen nucleus (important for CoM corrections):         16
Number:  55     3     0     1    -1     6    0.150000E+03  0.000000E+00  particle    inside    
Number:  56     3     0     1     1     6    0.150000E+03  0.000000E+00  particle    inside    
Number:  57     1     5    11    -1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  58     1     5    11     1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  59     1     5     9    -1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  60     1     5     9     1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  61     2     3     7    -1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  62     2     3     7     1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  63     2     3     5    -1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  64     2     3     5     1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  65     3     1     3    -1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  66     3     1     3     1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  67     3     1     1    -1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  68     3     1     1     1     7    0.170000E+03  0.000000E+00  particle    inside    
Number:  69     1     6    13    -1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  70     1     6    13     1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  71     1     6    11    -1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  72     1     6    11     1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  73     2     4     9    -1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  74     2     4     9     1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  75     2     4     7    -1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  76     2     4     7     1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  77     3     2     5    -1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  78     3     2     5     1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  79     3     2     3    -1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  80     3     2     3     1     8    0.190000E+03  0.000000E+00  particle    inside    
Number:  81     2     5    11    -1     9    0.210000E+03  0.000000E+00  particle    inside    
Number:  82     2     5    11     1     9    0.210000E+03  0.000000E+00  particle    inside    
Number:  83     2     5     9    -1     9    0.210000E+03  0.000000E+00  particle    inside    
Number:  84     2     5     9     1     9    0.210000E+03  0.000000E+00  particle    inside    
Number:  85     3     3     7    -1     9    0.210000E+03  0.000000E+00  particle    inside    
Number:  86     3     3     7     1     9    0.210000E+03  0.000000E+00  particle    inside    
Number:  87     3     3     5    -1     9    0.210000E+03  0.000000E+00  particle    inside    
Number:  88     3     3     5     1     9    0.210000E+03  0.000000E+00  particle    inside    
Number:  89     2     6    13    -1    10    0.230000E+03  0.000000E+00  particle    inside    
Number:  90     2     6    13     1    10    0.230000E+03  0.000000E+00  particle    inside    
Number:  91     2     6    11    -1    10    0.230000E+03  0.000000E+00  particle    inside    
Number:  92     2     6    11     1    10    0.230000E+03  0.000000E+00  particle    inside    
Number:  93     3     4     9    -1    10    0.230000E+03  0.000000E+00  particle    inside    
Number:  94     3     4     9     1    10    0.230000E+03  0.000000E+00  particle    inside    
Number:  95     3     4     7    -1    10    0.230000E+03  0.000000E+00  particle    inside    
Number:  96     3     4     7     1    10    0.230000E+03  0.000000E+00  particle    inside    
Number:  97     3     5    11    -1    11    0.250000E+03  0.000000E+00  particle    inside    
Number:  98     3     5    11     1    11    0.250000E+03  0.000000E+00  particle    inside    
Number:  99     3     5     9    -1    11    0.250000E+03  0.000000E+00  particle    inside    
Number: 100     3     5     9     1    11    0.250000E+03  0.000000E+00  particle    inside    
Number: 101     3     6    13    -1    12    0.270000E+03  0.000000E+00  particle    inside    
Number: 102     3     6    13     1    12    0.270000E+03  0.000000E+00  particle    inside    
Number: 103     3     6    11    -1    12    0.270000E+03  0.000000E+00  particle    inside    
Number: 104     3     6    11     1    12    0.270000E+03  0.000000E+00  particle    inside    
